Study_accession,OP_disease,OP_age,OP_sex,OP_tissue_types,OP_organism,OP_strain_info,PR_disease,PR_age,PR_sex,PR_tissue_types,PR_organism,PR_strain_info
GSE120283,Experiment-level  available,Experiment-level  available,Experiment-level  available,Experiment-level  available,Sample-level available,Experiment-level  available,Not-available,Sample-level available,Not-available,Sample-level available,Sample-level available,Sample-level available
GSE101713,Not-available,Not-available,Not-available,Not-available,Experiment-level  available,Experiment-level  available,Not-available,Sample-level available,Not-available,Sample-level available,Sample-level available,Sample-level available
GSE101714,Not-available,Not-available,Not-available,Not-available,Experiment-level  available,Experiment-level  available,Not-available,Sample-level available,Not-available,Sample-level available,Sample-level available,Sample-level available
GSE101715,Not-available,Not-available,Not-available,Not-available,Experiment-level  available,Experiment-level  available,Not-available,Sample-level available,Not-available,Sample-level available,Sample-level available,Sample-level available
GSE120747,Not-available,Not-available,Not-available,Not-available,Sample-level available,Not-available,Not-available,Sample-level available,Not-available,Sample-level available,Sample-level available,Sample-level available
GSE114674,Not-available,Not-available,Not-available,Sample-level available,Sample-level available,Not-available,Not-available,Sample-level available,Not-available,Sample-level available,Sample-level available,Sample-level available
GSE116382,Not-available,Not-available,Not-available,Sample-level available,Sample-level available,Not-available,Not-available,Sample-level available,Not-available,Sample-level available,Sample-level available,Sample-level available
GSE107632,Not-available,Not-available,Experiment-level  available,Not-available,Sample-level available,Not-available,Not-available,Not-available,Sample-level available,Not-available,Sample-level available,Sample-level available
GSE109742,Not-available,Experiment-level  available,Sample-level available,Experiment-level  available,Sample-level available,Sample-level available,Not-available,Sample-level available,Sample-level available,Not-available,Sample-level available,Sample-level available
GSE106707,Not-available,Not-available,Not-available,Sample-level available,Sample-level available,Not-available,Not-available,Sample-level available,Sample-level available,Not-available,Sample-level available,Sample-level available
GSE108402,Not-available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Not-available,Not-available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available
