Study_ID,Disease_df1,OP_Disease_Condition,OP_Age,OP_Organism,OP_Sex,OP_Tissue_Type,OP_Ethnicity,PR_Disease_Condition,PR_Age,PR_Organism,PR_Sex,PR_Tissue_Type,PR_Ethnicity
GSE49925,CVD,Sample-level available,Experiment-level  available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Not-available,Not-available,Sample-level available,Sample-level available,Sample-level available,Sample-level available
GSE144425,CVD,Not-available,Not-available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Not-available,Sample-level available,Sample-level available,Sample-level available,Sample-level available
GSE144424,CVD,Sample-level available,Not-available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Not-available,Sample-level available,Sample-level available,Sample-level available,Sample-level available
GSE42834,TB,Sample-level available,Experiment-level  available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Not-available,Sample-level available,Sample-level available,Sample-level available,Sample-level available
GSE63063,AD,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Not-available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available
GSE152218,TB,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Not-available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available
GSE125895,AD,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available
GSE13015,Sepsis,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available
GSE144127,TB,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available
GSE180081,CVD,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available
GSE53081,CVD,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available,Sample-level available
